Red,
Shaheed Sthal(New Bus Adda),0.0,
Hindon River,1.0,
Arthala,2.5,
Mohan Nagar,3.2,
Shyam park,4.5,
Major Mohit Sharma,5.7,
Raj Bagh,6.9,
Shaheed Nagar,8.2,
Dilshad Garden,9.4,
Jhil Mil,10.3,
Mansarovar Park,11.4,
Shahdara,12.5,
Welcome,13.7,Pink,
Seelampur,14.8,
Shastri Park,16.4,
Kashmere Gate,18.5,Violet,
Tis Hazari,19.7,
Pul Bangash,20.6,
Pratap Nagar,21.4,
Shastri Nagar,23.1,
Inderlok,24.3,Green,
Kanhaiya Nagar,25.5,
Keshav Puram,26.2,
Netaji Subash Place,27.4,Pink,
Kohat Enclave,28.6,
Pitam Pura,29.6,
Rohini East,30.4,
Rohini West,31.7,
Rithala,32.7,
Yellow,
Samaypur Badli,0.0,
Rohini Sector 18-19,0.8,
Haiderpur Badli Mor,2.1,
Jahangirpuri,3.4,
Adarsh Nagar,4.7,
Azadpur,6.2,Pink,
Model Town,7.6,
Guru Tegh Bahadur Nagar,9.0,
Vishwavidyalaya,9.8,
Vidhan Sabha,10.8,
Civil s,12.1,
Kashmere Gate,13.2,Violet,
Chandni Chowk,14.3,
Chawri Bazar,15.3,
New Delhi,16.1,Orange,
Rajiv Chowk,17.2,Blue,
Patel Chowk,18.5,
Central Secretariat,19.4,Violet,
Udyog Bhawan,19.7,
Lok Kalyan Marg,21.3,
Jorbagh,22.5,
Dilli Haat INA,23.8,Pink,
AIIMS,24.6,
Green Park,25.6,
Hauz Khas,27.4,Magenta,
Malviya Nagar,29.1,
Saket,30.0,
Qutab Minar,31.7,
Chhattarpur,33.0,
Sultanpur,34.6,
Ghitorni,35.9,
Arjan Garh,38.6,
Guru Dronacharya,40.9,
Sikandarpur,41.9,Rapid,
MG Road,43.1,
IFFCO Chowk,44.2,
Huda City Centre,45.7,
Blue,
Dwarka Sector 21,0.0,Orange,
Dwarka Sector 8,1.7,
Dwarka Sector 9,2.7,
Dwarka Sector 10,3.8,
Dwarka Sector 11,4.8,
Dwarka Sector 12,5.8,
Dwarka Sector 13,6.7,
Dwarka Sector 14,7.6,
Dwarka,9.1,Gray,
Dwarka Mor,10.2,
Nawada,11.4,
Uttam Nagar West,12.4,
Uttam Nagar East,13.4,
Janak Puri West,14.7,Magenta,
Janak Puri East,15.7,
Tilak Nagar,16.7,
Subhash Nagar,17.6,
Tagore Garden,18.5,
Rajouri Garden,19.6,Pink,
Ramesh Nagar,20.6,
Moti Nagar,21.8,
Kirti Nagar,22.8,Green,
Shadipur,23.5,
Patel Nagar,24.8,
Rajendra Place,25.7,
Karol Bagh,26.7,
Jhandewalan,27.9,
R K Ashram Marg,28.9,
Rajiv Chowk,30.1,Yellow,
Barakhamba,30.8,
Mandi House,31.8,Violet,
Supreme Court (Pragati Maidan),32.6,
Indraprastha,33.4,
Yamuna Bank,35.2,
Akshardham,36.5,
Mayur Vihar Phase-1,38.3,Pink,
Mayur Vihar Extention,39.5,
New Ashok Nagar,40.4,
Noida Sector 15,41.4,
Noida Sector 16,42.5,
Noida Sector 18,43.6,
Botanical Garden,44.7,Magenta,
Golf Course,45.9,
Noida City Center,47.2,
Noida Sector 34,48.1,
Noida Sector 52,49.3,Aqua,
Noida Sector 61,50.5,
Noida Sector 59,51.5,
Noida Sector 62,52.7,
Noida Electronic City,53.9,
AirportExpress,
New Delhi,0.0,Yellow,
Shivaji Stadium,1.9,
Dhaula Kuan,8.3,Pink,
Delhi Aerocity,14.5,
IGI Airport,17.9,
Dwarka Sector 21,20.8,Blue,
Green-IndrloktoMundka,
Inderlok,0.0,Red,
Ashok Park Main,1.4,
Punjabi Bagh,2.3,
Shivaji Park,3.9,
Madipur,5.0,
Paschim Vihar (East),5.7,
Paschim Vihar (West),6.7,
Peera Garhi,7.6,
Udyog Nagar,8.8,
Maharaja Surajmal Stadium,9.5,
Nangloi,10.3,
Nangloi Railway Station,11.2,
Rajdhani Park,12.4,
Mundka,13.7,
Mundka Industrial Area (MIA),15.0,
Ghevra Metro station,17.1,
Tikri Kalan,18.9,
Tikri Border,20.2,
Pandit Shree Ram Sharma,21.5,
Bahdurgarh City,23.0,
Brigadier Hoshiar Singh,24.8,
Rapid,
Sector 55-66 (Rapid Metro),0.0,
Sector 54 Chowk (Rapid Metro),1.1,
Sector 53-54 (Rapid Metro),2.6,
Sector 42-43 (Rapid Metro),3.9,
DLF Phase 1 (Rapid Metro),5.5,
Sikandarpur (Rapid Metro),6.6,Yellow,
DLF Phase 2 (Rapid Metro),7.3,
Belvedere Towers (Rapid Metro),8.0,
Cyber City (Rapid Metro),8.6,
Moulsari Avenue (Rapid Metro),9.2,
DLF Phase 3 (Rapid Metro),10.0,
Violet,
Kashmere Gate,0.0,Yellow,
Lal Quila,1.5,
Jama Masjid,2.3,
Delhi Gate,3.7,
ITO,5.0,
Mandi House,5.8,Blue,
Janpath,7.2,
Central Secretariat,8.5,Yellow,
Khan Market,10.6,
Jawaharlal Nehru Stadium,12.0,
Jangpura,12.9,
Lajpat Nagar,14.4,Pink,
Moolchand,15.1,
Kailash Colony,16.4,
Nehru Place,17.4,
Kalkaji Mandir,18.2,Magenta,
Govind Puri,18.9,
Okhla,20.0,
Jasola,20.9,
Sarita Vihar,22.1,
Mohan Estate,23.3,
Tughlakabad,25.2,
Badarpur Border,26.3,
Sarai,28.8,
N.H.P.C. Chowk,30.4,
Mewala Maharajpur,31.3,
Sector 28 Faridabad,32.5,
Badkal Mor,34.2,
Old Faridabad,35.4,
Neelam Chowk Ajronda,37.0,
Bata Chowk,38.3,
Escorts Mujesar,40.1,
Sant Surdas - Sihi,41.8,
Raja Nahar Singh,43.5,
Magenta,
Janak Puri West,0.0,Blue,
Dabri Mor - Janakpuri South,2.0,
Dashrath Puri,3.1,
Palam,4.6,
Sadar Bazaar Cantonment,7.2,
Terminal 1 IGI Airport,8.9,
Shankar Vihar,10.7,
Vasant Vihar,12.8,
Munirka,14.0,
RK Puram,15.4,
IIT Delhi,16.3,
Hauz Khas,17.5,Yellow,
Panchsheel Park,19.0,
Chirag Delhi,19.9,
Greater Kailash,20.8,
Nehru Enclave,22.1,
Kalkaji Mandir,23.0,Violet,
Okhla NSIC,23.8,
Sukhdev Vihar,24.9,
JAMIA MILLIA ISLAMIA,26.1,
Okhla Vihar,26.6,
Jasola Vihar Shaheen Bagh,28.4,
Kalindi Kunj,29.8,
Okhla Bird Sanctuary,31.4,
Botanical Garden,33.1,Blue,
Pink,
Majlis Park,0.0,
Azadpur,2.1,Yellow,
Shalimar Bagh,3.7,
Netaji Subash Place,5.1,Red,
Shakurpur,6.3,
Punjabi Bagh West,7.7,
ESI BASAI DARAPUR,10.2,
Rajouri Garden,11.3,Blue,
Maya Puri,12.8,
Naraina Vihar,14.3,
Delhi Cantt,16.1,
Durgabai Deshmukh South Campus,19.7,Orange,
Sir Vishweshwaraiah Moti Bagh,21.0,
Bhikaji Cama Place,22.6,
Sarojini Nagar,23.8,
